Category,Subcategory,Task,L1A,L1B,L1C,L2
User Account Management,Password & Authentication,Reset Azure AD password (standard user),✅,✅,✅,✅
User Account Management,Password & Authentication,Reset local AD password,✅,✅,✅,✅
User Account Management,Password & Authentication,Unlock account (standard lockout),✅,✅,✅,✅
User Account Management,Password & Authentication,Unlock account (security lockout/suspicious activity),❌,⚠️,⚠️,✅
User Account Management,Password & Authentication,Reset MFA - SMS/Authenticator app,✅,✅,✅,✅
User Account Management,Password & Authentication,Reset MFA - Hardware token,❌,🟡,✅,✅
User Account Management,Password & Authentication,Troubleshoot SSPR (Self-Service Password Reset),❌,🟡,✅,✅
User Account Management,Password & Authentication,Password expired - guide through reset,✅,✅,✅,✅
User Account Management,Password & Authentication,Password policy explanation,✅,✅,✅,✅
User Account Management,Password & Authentication,Troubleshoot Conditional Access blocking sign-in,❌,⚠️,⚠️,✅
User Account Management,Password & Authentication,Azure AD Connect password sync issues,❌,❌,❌,✅
User Account Management,Password & Authentication,Privileged account password reset (admin accounts),❌,❌,❌,✅
User Account Management,Account Provisioning,Create new user account (standard template),❌,✅,✅,✅
User Account Management,Account Provisioning,Create new user account (custom requirements),❌,❌,⚠️,✅
User Account Management,Account Provisioning,Assign Microsoft 365 license (standard roles),❌,✅,✅,✅
User Account Management,Account Provisioning,Assign Microsoft 365 license (custom allocation),❌,❌,⚠️,✅
User Account Management,Account Provisioning,Add user to distribution list,❌,✅,✅,✅
User Account Management,Account Provisioning,Add user to Microsoft 365 Group,❌,✅,✅,✅
User Account Management,Account Provisioning,Add user to security group (standard),❌,✅,✅,✅
User Account Management,Account Provisioning,Add user to security group (privileged/sensitive),❌,❌,❌,✅
User Account Management,Account Provisioning,Create shared mailbox,❌,✅,✅,✅
User Account Management,Account Provisioning,Create resource mailbox (room/equipment),❌,🟡,✅,✅
User Account Management,Account Provisioning,Assign mailbox permissions (Full Access Send As),❌,✅,✅,✅
User Account Management,Account Provisioning,Configure mailbox delegation (complex scenarios),❌,❌,⚠️,✅
User Account Management,Account Deprovisioning,Disable user account (following checklist),❌,✅,✅,✅
User Account Management,Account Deprovisioning,Remove licenses from disabled account,❌,✅,✅,✅
User Account Management,Account Deprovisioning,Convert mailbox to shared,❌,✅,✅,✅
User Account Management,Account Deprovisioning,Configure mailbox forwarding for departed user,❌,✅,✅,✅
User Account Management,Account Deprovisioning,Grant mailbox access to manager,❌,✅,✅,✅
User Account Management,Account Deprovisioning,Remove user from all groups,❌,✅,✅,✅
User Account Management,Account Deprovisioning,Export user's OneDrive contents,❌,❌,🟡,✅
User Account Management,Account Deprovisioning,Delete user account (permanent),❌,❌,❌,✅
User Account Management,Account Deprovisioning,Manage legal hold/litigation hold,❌,❌,❌,✅
Microsoft 365 Support,Outlook & Exchange Online,Create Outlook profile,✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Troubleshoot Outlook profile corruption,🟡,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Configure Out of Office,✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Setup mobile email (iOS/Android),✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Troubleshoot email not syncing,🟡,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Calendar permissions (view-only),✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Calendar permissions (editor/delegate),❌,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Troubleshoot calendar sharing issues,❌,🟡,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Run message trace (basic - find email),❌,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Run message trace (advanced - identify mail flow issues),❌,❌,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Email delivery troubleshooting (recipient issues),🟡,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Troubleshoot mail flow rules blocking email,❌,❌,⚠️,✅
Microsoft 365 Support,Outlook & Exchange Online,Create/modify mail flow rules,❌,❌,❌,✅
Microsoft 365 Support,Outlook & Exchange Online,PST import/export guidance,✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Mailbox permissions (Full Access),❌,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Mailbox permissions (Send As Send on Behalf),❌,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Configure email forwarding (user-level),🟡,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Configure email forwarding (transport rule),❌,❌,❌,✅
Microsoft 365 Support,Outlook & Exchange Online,Recover deleted emails (user's Deleted Items),✅,✅,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Recover deleted emails (Recoverable Items folder),❌,🟡,✅,✅
Microsoft 365 Support,Outlook & Exchange Online,Mailbox quota management,❌,❌,🟡,✅
Microsoft 365 Support,Outlook & Exchange Online,Archive mailbox setup,❌,❌,❌,✅
Microsoft 365 Support,Outlook & Exchange Online,Retention policy troubleshooting,❌,❌,❌,✅
Microsoft 365 Support,OneDrive & SharePoint,OneDrive sync client - reset/re-link,✅,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,OneDrive Known Folder Move (Desktop/Documents),❌,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,OneDrive storage quota questions,✅,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,OneDrive sync troubleshooting (advanced),❌,🟡,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,File sharing link creation (anyone/specific),✅,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint site member access,❌,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint site visitor access,❌,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint folder/file permissions,❌,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint permission inheritance troubleshooting,❌,❌,⚠️,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint site collection administration,❌,❌,❌,✅
Microsoft 365 Support,OneDrive & SharePoint,SharePoint migration (file shares to SharePoint),❌,❌,❌,✅
Microsoft 365 Support,OneDrive & SharePoint,OneDrive/SharePoint sync conflicts,❌,🟡,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,Recover deleted files (user's recycle bin),✅,✅,✅,✅
Microsoft 365 Support,OneDrive & SharePoint,Recover deleted files (site collection recycle bin),❌,❌,🟡,✅
Microsoft 365 Support,Microsoft Teams,Add/remove team members,✅,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Create Teams channel,✅,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Troubleshoot can't join meeting,✅,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Teams audio/video issues (client-side),🟡,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Teams guest access (following approval process),❌,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Teams calling basics (transfer hold voicemail),❌,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Teams call forwarding setup,❌,✅,✅,✅
Microsoft 365 Support,Microsoft Teams,Troubleshoot Teams policies blocking actions,❌,❌,⚠️,✅
Microsoft 365 Support,Microsoft Teams,Create/modify Teams policies,❌,❌,❌,✅
Microsoft 365 Support,Microsoft Teams,Teams Phone System troubleshooting,❌,❌,⚠️,✅
Microsoft 365 Support,Microsoft Teams,Teams direct routing issues,❌,❌,❌,✅
Microsoft 365 Support,Microsoft Teams,Teams Room troubleshooting (basic),❌,🟡,✅,✅
Microsoft 365 Support,Microsoft Teams,Teams Room troubleshooting (advanced),❌,❌,❌,✅
Microsoft 365 Support,Microsoft Office Applications,Office activation troubleshooting,🟡,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Office application crashes - repair,🟡,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Office application crashes - reinstall,🟡,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Word/Excel/PowerPoint basic support,✅,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Excel - intermediate formulas (VLOOKUP IF),❌,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Excel - advanced formulas (INDEX/MATCH complex),❌,❌,🟡,✅
Microsoft 365 Support,Microsoft Office Applications,Excel - macros troubleshooting,❌,❌,❌,✅
Microsoft 365 Support,Microsoft Office Applications,Excel - Power Query basics,❌,❌,❌,✅
Microsoft 365 Support,Microsoft Office Applications,Access database support,❌,❌,❌,✅
Microsoft 365 Support,Microsoft Office Applications,Office updates - manual trigger,✅,✅,✅,✅
Microsoft 365 Support,Microsoft Office Applications,Office updates - troubleshoot failures,❌,🟡,✅,✅
Endpoint Support - Windows,Operating System,Windows Update - check for updates,✅,✅,✅,✅
Endpoint Support - Windows,Operating System,Windows Update - troubleshoot failures,❌,🟡,✅,✅
Endpoint Support - Windows,Operating System,Windows Update - pause updates,❌,✅,✅,✅
Endpoint Support - Windows,Operating System,Restart Windows (standard),✅,✅,✅,✅
Endpoint Support - Windows,Operating System,Safe Mode boot guidance,❌,✅,✅,✅
Endpoint Support - Windows,Operating System,Disk Cleanup,✅,✅,✅,✅
Endpoint Support - Windows,Operating System,Task Manager - identify resource hogs,❌,🟡,✅,✅
Endpoint Support - Windows,Operating System,Event Viewer - basic review,❌,🟡,✅,✅
Endpoint Support - Windows,Operating System,Event Viewer - advanced diagnosis,❌,❌,⚠️,✅
Endpoint Support - Windows,Operating System,System File Checker (sfc /scannow),❌,✅,✅,✅
